Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/02/2000;1800;null;null;null;10;3.4;1008.3;null;24.8;23.8;null;92;5;1;20
02/02/2000;0;null;null;null;6;0.2;1007;null;25.2;24.6;null;95;0;0;50
02/02/2000;1200;null;null;null;6;0;1008.1;null;25.6;25;null;95;0;0;60
02/02/2000;1800;null;null;null;6;12.6;1006.5;null;29.4;26.2;null;78;5;1;50
03/02/2000;0;null;null;null;4;0;1006;null;26.4;25.2;null;91;0;0;50
03/02/2000;1200;null;null;null;10;0.4;1007.5;null;25;24.8;null;98;0;0;50
03/02/2000;1800;null;null;null;10;0;1004.2;null;31.2;26.2;null;67;9;2;50
04/02/2000;0;null;null;null;6;9.2;1006.8;null;24.8;24;null;94;0;0;50
04/02/2000;1200;null;null;null;10;3;1008;null;24.6;23.8;null;94;0;0;20
04/02/2000;1800;null;null;null;10;34.6;1007.3;null;24.6;23.6;null;92;5;1;20
05/02/2000;0;null;null;null;10;0;1007.6;null;24.6;23.8;null;94;0;0;10
05/02/2000;1200;null;null;null;10;73;1010;null;22.4;21.8;null;95;0;0;20
05/02/2000;1800;null;null;null;10;11.8;1011;null;26;24.8;null;91;0;0;20
06/02/2000;0;null;null;null;10;0;1007.8;null;25.6;23.6;null;85;0;0;20
06/02/2000;1200;null;null;null;10;0;1004.2;null;25;24.6;null;97;0;0;50
06/02/2000;1800;null;null;null;10;0;1008.6;null;29.2;26.2;null;79;0;0;50
07/02/2000;0;null;null;null;8;0;1008.1;null;26.4;24.8;null;88;0;0;50
07/02/2000;1200;null;null;null;10;0;1009.3;null;26;24.8;null;91;5;1;20
07/02/2000;1800;null;null;null;5;0;1007.3;null;31.6;25;null;59;5;2;60
08/02/2000;0;null;null;null;8;0;1007.4;null;27.4;25.4;null;85;0;0;60
08/02/2000;1200;null;null;null;8;0;1009.2;null;26.6;25.2;null;89;0;0;50
